epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,164.362,1.33511,0.2131,0.37015,1.47099,1.22117,0.3853,0.33324,0.21037,0.13454,0.36165,0.37735,0.20832,0.20188,1.51279,0.93725,0.36119,1.86083,1.36533,0.000427565,0.000427565,0.000427565
57,167.337,1.38538,0.10492,0.38186,1.48664,1.22646,0.3941,0.37735,0.20811,0.14255,0.36577,0.34559,0.2062,0.19873,1.53299,0.94185,0.36959,1.91104,1.37341,0.000412246,0.000412246,0.000412246
58,170.313,1.3438,0.10223,0.38462,1.50184,1.22907,0.20293,0.37735,0.22219,0.14708,0.17341,0.42559,0.2317,0.21319,1.55507,0.94241,0.38031,1.97249,1.38595,0.000397019,0.000397019,0.000397019
59,173.229,1.32521,0.09706,0.38315,1.47881,1.24021,0.22207,0.37589,0.21966,0.14183,0.20157,0.42559,0.22256,0.20912,1.60649,0.94238,0.38249,2.00583,1.39895,0.000381899,0.000381899,0.000381899
60,176.166,1.33076,0.18581,0.40848,1.51164,1.23711,0.52497,0.36735,0.20532,0.12618,0.31334,0.37559,0.20312,0.19219,1.61108,0.92933,0.36174,1.91261,1.38363,0.000366899,0.000366899,0.000366899
61,178.988,1.33965,0.10161,0.34707,1.48754,1.21654,0.55378,0.26739,0.21674,0.14065,0.53562,0.31059,0.2221,0.20536,1.59697,0.94269,0.35963,1.98548,1.38576,0.000352037,0.000352037,0.000352037
62,181.974,1.33199,0.08645,0.41263,1.61516,1.27568,0.5595,0.27147,0.21913,0.14177,0.54225,0.29059,0.23137,0.20757,1.62542,0.94002,0.36648,1.96031,1.39024,0.000337325,0.000337325,0.000337325
63,184.847,1.40621,0.10218,0.518,1.54896,1.25061,0.55313,0.30235,0.22552,0.14568,0.53941,0.27059,0.22751,0.21136,1.56253,0.93857,0.36292,1.88211,1.3844,0.000322778,0.000322778,0.000322778
64,187.766,1.2525,0.14567,0.32278,1.43017,1.18186,0.55763,0.34824,0.22631,0.14979,0.33208,0.31647,0.2186,0.21277,1.55922,0.92642,0.35175,1.80388,1.37481,0.000308412,0.000308412,0.000308412
65,190.642,1.3021,0.21303,0.41276,1.40637,1.21284,0.56505,0.32824,0.2287,0.15035,0.34111,0.32235,0.22185,0.21641,1.49625,0.93803,0.3596,1.77164,1.35052,0.000294239,0.000294239,0.000294239
66,193.567,1.36321,0.18313,0.38487,1.41177,1.24851,0.56493,0.27735,0.22429,0.15267,0.33561,0.34235,0.21749,0.21155,1.45035,0.93789,0.37142,1.81876,1.34479,0.000280275,0.000280275,0.000280275
67,196.435,1.28048,0.15291,0.36378,1.38728,1.21987,0.55021,0.22735,0.22878,0.1522,0.33823,0.33647,0.22402,0.21708,1.46269,0.93805,0.37264,1.90143,1.3508,0.000266532,0.000266532,0.000266532
68,199.4,1.37838,0.08716,0.34699,1.44227,1.18878,0.34103,0.3503,0.23021,0.15656,0.33727,0.36147,0.23059,0.22084,1.45344,0.93727,0.36582,1.84473,1.32986,0.000253024,0.000253024,0.000253024
69,202.317,1.24859,0.10676,0.32349,1.38015,1.16231,0.3389,0.34735,0.22906,0.15076,0.32897,0.38147,0.23724,0.21917,1.51853,0.93895,0.36315,1.85795,1.34305,0.000239766,0.000239766,0.000239766
70,205.262,1.29553,0.19621,0.42414,1.44869,1.2017,0.34436,0.34735,0.23088,0.16057,0.34116,0.40101,0.24675,0.22205,1.48866,0.92809,0.36016,1.84462,1.33221,0.000226769,0.000226769,0.000226769
71,208.323,1.24764,0.10384,0.3531,1.3724,1.18447,0.33767,0.32735,0.23221,0.16503,0.35841,0.42559,0.24144,0.2237,1.4757,0.94194,0.36133,1.86987,1.3266,0.000214046,0.000214046,0.000214046
72,211.413,1.28944,0.17921,0.36049,1.36502,1.18297,0.33847,0.32735,0.24018,0.16819,0.35889,0.4255,0.23952,0.22588,1.49297,0.94106,0.36788,1.9396,1.34314,0.000201611,0.000201611,0.000201611
73,214.363,1.27824,0.17617,0.42923,1.44195,1.1754,0.54117,0.27735,0.23533,0.16459,0.32229,0.37559,0.23939,0.22644,1.47875,0.93809,0.36384,1.91026,1.3305,0.000189475,0.000189475,0.000189475
74,217.283,1.21071,0.10078,0.36134,1.40088,1.1635,0.53693,0.27735,0.2352,0.16142,0.31642,0.37559,0.23428,0.22667,1.51069,0.92558,0.36279,1.91306,1.33319,0.000177651,0.000177651,0.000177651
75,220.294,1.31394,0.13071,0.41029,1.48635,1.23595,0.5419,0.27735,0.23792,0.1602,0.52273,0.29059,0.23285,0.22768,1.51638,0.92537,0.36784,1.95491,1.33001,0.000166149,0.000166149,0.000166149
76,223.344,1.27878,0.12493,0.39912,1.42452,1.22277,0.52847,0.29067,0.22844,0.16103,0.3134,0.37559,0.2236,0.21738,1.47422,0.92673,0.36623,1.93755,1.33403,0.000154982,0.000154982,0.000154982
77,226.332,1.28316,0.1749,0.34296,1.42982,1.17311,0.53186,0.30235,0.23127,0.15606,0.30949,0.38147,0.22223,0.2161,1.44716,0.92581,0.36493,1.88253,1.33363,0.000144161,0.000144161,0.000144161
78,229.472,1.29135,0.16546,0.37456,1.41158,1.22054,0.54471,0.32235,0.23092,0.15945,0.31115,0.34735,0.22016,0.21474,1.426,0.92597,0.35774,1.86421,1.32477,0.000133695,0.000133695,0.000133695
79,232.462,1.25084,0.11152,0.33963,1.36717,1.18689,0.55577,0.32824,0.23279,0.16044,0.533,0.30147,0.22094,0.21571,1.40571,0.925,0.35461,1.8491,1.30906,0.000123596,0.000123596,0.000123596
80,235.51,1.25011,0.04015,0.3345,1.38672,1.17812,0.55507,0.29888,0.2427,0.15991,0.53122,0.25891,0.23322,0.22809,1.41684,0.92506,0.35381,1.86112,1.30662,0.000113873,0.000113873,0.000113873
81,238.394,1.29219,0.11937,0.40568,1.45338,1.28702,0.55747,0.29598,0.25728,0.17102,0.53328,0.25303,0.24626,0.24156,1.41038,0.93695,0.35432,1.87313,1.30292,0.000104537,0.000104537,0.000104537
82,241.397,1.27689,0.06373,0.3884,1.37149,1.22653,0.56951,0.32735,0.24413,0.16252,0.55085,0.29559,0.23346,0.22792,1.40374,0.93942,0.35465,1.89929,1.30334,9.55951e-05,9.55951e-05,9.55951e-05
83,244.317,1.2343,0.13136,0.3979,1.45344,1.18182,0.56316,0.32735,0.24234,0.1642,0.54676,0.29559,0.2314,0.2263,1.38611,0.93718,0.35633,1.90193,1.29583,8.70577e-05,8.70577e-05,8.70577e-05
84,247.267,1.23084,0.12191,0.37144,1.39009,1.15214,0.57616,0.30235,0.23466,0.16544,0.53963,0.28343,0.22373,0.21868,1.36858,0.93763,0.35932,1.87586,1.28555,7.89327e-05,7.89327e-05,7.89327e-05
85,250.216,1.25074,0.1035,0.36956,1.38221,1.15036,0.58236,0.30235,0.23803,0.16788,0.53482,0.27647,0.22589,0.22102,1.36938,0.93711,0.35471,1.85552,1.28638,7.12282e-05,7.12282e-05,7.12282e-05
86,253.124,1.24564,0.15738,0.39714,1.55495,1.19841,0.5581,0.30235,0.23869,0.16809,0.54011,0.27059,0.22621,0.22157,1.36384,0.93736,0.35561,1.85836,1.28475,6.39518e-05,6.39518e-05,6.39518e-05
87,256.025,1.22801,0.09047,0.39925,1.41692,1.2207,0.55202,0.31631,0.23733,0.16676,0.53756,0.29406,0.22647,0.22146,1.36528,0.9372,0.35867,1.86177,1.28266,5.71106e-05,5.71106e-05,5.71106e-05
88,259.056,1.20876,0.07145,0.36567,1.32621,1.1402,0.55733,0.3064,0.23537,0.16102,0.54047,0.27569,0.22274,0.21752,1.36902,0.92459,0.35895,1.85954,1.28691,5.07115e-05,5.07115e-05,5.07115e-05
89,262.076,1.24075,0.23014,0.39891,1.39043,1.18104,0.55999,0.30235,0.23351,0.1628,0.54123,0.2706,0.22041,0.21561,1.36996,0.92438,0.3595,1.85973,1.28786,4.47606e-05,4.47606e-05,4.47606e-05
90,264.971,1.29684,0.07008,0.38559,1.40392,1.18254,0.55985,0.30364,0.23192,0.16179,0.5373,0.27644,0.21936,0.21491,1.36719,0.92443,0.35934,1.85134,1.28775,3.9264e-05,3.9264e-05,3.9264e-05
91,286.494,1.09961,0.12916,0.32489,1.48515,1.18566,0.55448,0.30824,0.22962,0.16001,0.54054,0.28987,0.21654,0.21287,1.36762,0.92439,0.35921,1.84631,1.28661,3.4227e-05,3.4227e-05,3.4227e-05
92,289.445,1.17349,0.11263,0.36768,1.51536,1.15815,0.55291,0.30235,0.22422,0.1555,0.55632,0.34147,0.21282,0.20889,1.37123,0.9248,0.35991,1.89775,1.28962,2.96546e-05,2.96546e-05,2.96546e-05
93,292.315,1.14328,0.1225,0.35439,1.51707,1.21481,0.55293,0.30235,0.23649,0.16313,0.55685,0.34147,0.22392,0.22038,1.3745,0.92499,0.36066,1.91749,1.29235,2.55513e-05,2.55513e-05,2.55513e-05
94,295.227,1.15551,0.25758,0.35651,1.4613,1.1754,0.56442,0.30343,0.23474,0.16092,0.55347,0.34147,0.22034,0.217,1.35842,0.93705,0.35965,1.90814,1.28568,2.19212e-05,2.19212e-05,2.19212e-05
95,298.114,1.14438,0.24806,0.35783,1.49146,1.15953,0.5557,0.3351,0.21249,0.14846,0.33574,0.34735,0.20062,0.19716,1.36346,0.93693,0.36192,1.9316,1.29029,1.87678e-05,1.87678e-05,1.87678e-05
96,301.055,1.15404,0.14957,0.39855,1.52573,1.16605,0.54054,0.28324,0.2114,0.14726,0.33928,0.34735,0.19672,0.1925,1.35894,0.93734,0.35603,1.92905,1.29187,1.60943e-05,1.60943e-05,1.60943e-05
97,303.955,1.13962,0.15539,0.34445,1.43363,1.14804,0.54076,0.28324,0.21168,0.14815,0.54194,0.34354,0.19766,0.1935,1.35388,0.93731,0.35769,1.91554,1.28825,1.39032e-05,1.39032e-05,1.39032e-05
98,306.86,1.14624,0.13862,0.32519,1.45568,1.17616,0.53922,0.28324,0.21128,0.14867,0.34368,0.34735,0.19878,0.19435,1.35427,0.93715,0.35782,1.91822,1.28891,1.21968e-05,1.21968e-05,1.21968e-05
99,309.713,1.11555,0.13342,0.37238,1.44926,1.15075,0.53977,0.28321,0.21161,0.14899,0.34142,0.34735,0.19785,0.1935,1.34967,0.93744,0.35496,1.90945,1.28693,1.09768e-05,1.09768e-05,1.09768e-05
100,312.64,1.14417,0.13736,0.31793,1.40646,1.16489,0.53926,0.28329,0.20981,0.14762,0.34036,0.34735,0.19653,0.19218,1.34831,0.93739,0.35438,1.90029,1.28631,1.02443e-05,1.02443e-05,1.02443e-05
