name,rows,mask_ap,mask_ap50,tail20,seconds,path,csv_sha256
F04_yolo11-seg-hwd_300ep,300,66.515,82.348,65.3606,20.329999999999927,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F04_yolo11-seg-hwd_300ep\results.csv,6851dda1f01934b8510727b7dd164e49ab697ab3f1cc1a3856aa8f855b7743bb
F05_yolo11-seg-c3k2faster_300ep,300,66.906,82.791,66.09660000000001,9.847999999999956,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F05_yolo11-seg-c3k2faster_300ep\results.csv,26024258c57803e98a7a141c30d55f97348f4e6926d16bb8c3ce71e480953760
F06_yolo11-seg-c3k2wt_300ep,300,66.788,82.55799999999999,65.35974999999999,10.090000000000146,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F06_yolo11-seg-c3k2wt_300ep\results.csv,0a480f372e1ade7eb6b79a2964e7b932cbf0ced047adee51e142eeb49770625d
F07_yolo11-seg-c3k2dwr_300ep,300,66.02,82.102,65.68055000000001,10.6099999999999,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F07_yolo11-seg-c3k2dwr_300ep\results.csv,a7687adceb9e83063f4a7b3deea0ac32b72280658c9fbc42f16b5be03e1935bb
F08_yolo11-seg-ema_300ep,300,65.949,81.754,65.18655,10.278999999999996,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F08_yolo11-seg-ema_300ep\results.csv,ef5ad8ce047c69c058aa726e2cd12d9c2990691e8f0a8072fae1e0a9181b5cfb
F09_yolo11-seg-simam_300ep,300,66.221,82.655,65.44995,10.168000000000006,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F09_yolo11-seg-simam_300ep\results.csv,4a41bc87d3476bd6d04b4b173b8ec971afeca7436af832b405a2a25006131ea0
F10_yolo11-seg-cbam_300ep,300,66.313,82.23700000000001,65.92945,10.289999999999964,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F10_yolo11-seg-cbam_300ep\results.csv,26ebd36536ec48857e624ede78050764040c087a14e435a6803b968f4a8443a9
F11_yolo11-seg-coordatt_300ep,300,66.903,83.088,66.1273,10.329999999999927,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F11_yolo11-seg-coordatt_300ep\results.csv,d2b2a35bb834dbcff9042e6392cfc2be0288fbe2be762ac9c900c362331b8e72
F12_yolo11-seg-ela_300ep,300,66.19500000000001,82.195,65.5278,10.313299999999998,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F12_yolo11-seg-ela_300ep\results.csv,3fee7bd648dc34983df307d8b7e38ad73afb54c909c8b59562e07dc7c4754155
F13_yolo11-seg-caa_300ep,300,66.18,82.343,65.3419,10.359999999999673,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F13_yolo11-seg-caa_300ep\results.csv,8fddf760a81743a475f16c404fb4de30934501e4b4c82cedfca68343017a9c2c
F14_yolo11-seg-sppf-lska_300ep,300,67.599,82.868,66.7675,10.269000000000005,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F14_yolo11-seg-sppf-lska_300ep\results.csv,4c2ff4bf271edba1779fb327baa03eb34bc011d489436ee2e34eff876e4d142e
F15_yolo11-seg-rfb_300ep,300,67.018,82.338,66.06395,10.740000000000009,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F15_yolo11-seg-rfb_300ep\results.csv,79a21c3db21c60299c18cbc47cecec9513fb07fc9591a7c2fc74562bf83b75dc
F16_yolo11-seg-bifpn_300ep,293,66.821,83.107,65.94539999999999,19.19500000000005,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F16_yolo11-seg-bifpn_300ep\results.csv,341d8ca045575b07a9bc38f42fdaeebf25b9f11716fb620bcc26fcb8a2600f20
F17_yolo11-seg-carafe_300ep,300,67.17,82.61,66.23265,21.800000000000182,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F17_yolo11-seg-carafe_300ep\results.csv,61ccb59cbd2c9a8cfed4c22fc87fae8cb08464e78f9620b429dab2b2f83297d7
F19_yolo11-seg-dfem_300ep,300,65.739,81.68299999999999,64.71679999999999,20.23199999999997,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F19_yolo11-seg-dfem_300ep\results.csv,c420e32241632b2dc41d905c6ac6f8e7568b73e8cf46d507351407e470f60e10
F20_yolo11-seg-dfem-p2p3_300ep,300,65.199,82.475,64.59535,20.61999999999989,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F20_yolo11-seg-dfem-p2p3_300ep\results.csv,70d3e2f74388cc2e56042816e6e66e5415245a4568f5b4965512a8c4abd6ce18
