"mismatch_order","split","order","gt_count","pred_count","extra_predictions","missing_predictions","abs_count_diff","image","output"
"115","train","211","2","6","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_103114.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103114_train_gt02_pred06_diff04_extra+04.jpg"
"116","train","212","4","2","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_103117.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103117_train_gt04_pred02_diff02_extra-02.jpg"
"117","train","217","3","1","-2","2","2","E:\mastercode\data\test\images\train\IMG_20260706_103137.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103137_train_gt03_pred01_diff02_extra-02.jpg"
"118","train","218","2","3","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103142.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103142_train_gt02_pred03_diff01_extra+01.jpg"
"119","train","224","2","4","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103316.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103316_train_gt02_pred04_diff02_extra+02.jpg"
"120","train","225","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103318.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103318_train_gt04_pred05_diff01_extra+01.jpg"
"121","train","227","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103325.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103325_train_gt03_pred04_diff01_extra+01.jpg"
"122","train","228","1","2","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103327.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103327_train_gt01_pred02_diff01_extra+01.jpg"
"123","train","231","4","8","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_103339.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103339_train_gt04_pred08_diff04_extra+04.jpg"
"124","train","232","2","4","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103348.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103348_train_gt02_pred04_diff02_extra+02.jpg"
"125","val","66","1","2","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103412.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103412_val_gt01_pred02_diff01_extra+01.jpg"
"126","val","69","5","9","4","0","4","E:\mastercode\data\test\images\val\IMG_20260706_103420.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103420_val_gt05_pred09_diff04_extra+04.jpg"
"127","val","72","5","6","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103438.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103438_val_gt05_pred06_diff01_extra+01.jpg"
"128","val","73","2","4","2","0","2","E:\mastercode\data\test\images\val\IMG_20260706_103440.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103440_val_gt02_pred04_diff02_extra+02.jpg"
"129","val","75","6","8","2","0","2","E:\mastercode\data\test\images\val\IMG_20260706_103453.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103453_val_gt06_pred08_diff02_extra+02.jpg"
"130","val","76","3","4","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103454.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103454_val_gt03_pred04_diff01_extra+01.jpg"
"131","val","78","7","8","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103458.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103458_val_gt07_pred08_diff01_extra+01.jpg"
"132","val","81","4","5","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103508.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103508_val_gt04_pred05_diff01_extra+01.jpg"
"133","val","82","4","3","-1","1","1","E:\mastercode\data\test\images\val\IMG_20260706_103510.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103510_val_gt04_pred03_diff01_extra-01.jpg"
"134","val","86","3","6","3","0","3","E:\mastercode\data\test\images\val\IMG_20260706_103521.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103521_val_gt03_pred06_diff03_extra+03.jpg"
"135","val","88","16","10","-6","6","6","E:\mastercode\data\test\images\val\IMG_20260706_103533.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103533_val_gt16_pred10_diff06_extra-06.jpg"
"136","val","89","13","10","-3","3","3","E:\mastercode\data\test\images\val\IMG_20260706_103534.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103534_val_gt13_pred10_diff03_extra-03.jpg"
"137","val","90","8","6","-2","2","2","E:\mastercode\data\test\images\val\IMG_20260706_103541.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103541_val_gt08_pred06_diff02_extra-02.jpg"
"138","val","91","7","6","-1","1","1","E:\mastercode\data\test\images\val\IMG_20260706_103543.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103543_val_gt07_pred06_diff01_extra-01.jpg"
"139","val","92","19","20","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103546.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103546_val_gt19_pred20_diff01_extra+01.jpg"
"140","val","94","9","10","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103552.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103552_val_gt09_pred10_diff01_extra+01.jpg"
"141","val","96","4","5","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103556.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103556_val_gt04_pred05_diff01_extra+01.jpg"
"142","train","234","10","7","-3","3","3","E:\mastercode\data\test\images\train\IMG_20260706_103602.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103602_train_gt10_pred07_diff03_extra-03.jpg"
"143","train","235","11","13","2","0","2","E:\mastercode\data\test\images\train\IMG_20260706_103604.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103604_train_gt11_pred13_diff02_extra+02.jpg"
"144","train","237","3","6","3","0","3","E:\mastercode\data\test\images\train\IMG_20260706_103607.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103607_train_gt03_pred06_diff03_extra+03.jpg"
"145","train","239","3","4","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103614.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103614_train_gt03_pred04_diff01_extra+01.jpg"
