epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,116.101,1.4841,0.11212,0.3827,1.60213,1.25556,0.36508,0.37324,0.26642,0.14959,0.33363,0.26985,0.18803,0.18255,1.71827,0.92573,0.37631,1.9974,1.42675,0.000989715,0.000989715,0.000989715
41,118.956,1.48642,0.09659,0.47286,1.64266,1.32884,0.344,0.3788,0.22981,0.13319,0.3299,0.36169,0.18168,0.17544,1.71833,0.93584,0.37311,1.95641,1.48427,0.000989183,0.000989183,0.000989183
42,121.831,1.48857,0.14736,0.41622,1.62353,1.28017,0.35919,0.39875,0.21924,0.14133,0.32741,0.39235,0.18861,0.18568,1.66227,0.93134,0.36521,1.89118,1.46671,0.000988638,0.000988638,0.000988638
43,124.807,1.51798,0.07528,0.45742,1.72102,1.34997,0.38802,0.37912,0.24637,0.14722,0.36363,0.34735,0.21433,0.21242,1.82145,0.91985,0.35486,1.88468,1.52405,0.000988079,0.000988079,0.000988079
44,127.736,1.49049,0.11751,0.39007,1.68379,1.28313,0.33805,0.32324,0.21582,0.13132,0.32733,0.29147,0.19012,0.18846,1.75625,0.91465,0.3798,2.02229,1.47567,0.000987507,0.000987507,0.000987507
45,130.62,1.50049,0.07722,0.48231,1.629,1.28948,0.15425,0.36824,0.21861,0.14152,0.13022,0.31647,0.19014,0.18829,1.7024,0.92418,0.37476,2.04009,1.44826,0.000986922,0.000986922,0.000986922
46,133.458,1.53912,0.10263,0.4077,1.61388,1.37052,0.35027,0.38824,0.2395,0.14836,0.34604,0.29147,0.1949,0.19255,1.69048,0.92571,0.36054,1.93074,1.42959,0.000986323,0.000986323,0.000986323
47,136.304,1.4546,0.13364,0.37152,1.57913,1.2823,0.36949,0.40503,0.25759,0.14847,0.35724,0.35326,0.23195,0.2293,1.67881,0.92596,0.36062,1.98628,1.45369,0.000985711,0.000985711,0.000985711
48,139.222,1.56425,0.17894,0.47615,1.71267,1.37574,0.4252,0.40412,0.24939,0.15421,0.40096,0.39235,0.23046,0.22825,1.68077,0.9445,0.36958,2.07361,1.47416,0.000985087,0.000985087,0.000985087
49,142.08,1.38865,0.15876,0.36826,1.56147,1.25867,0.50274,0.39912,0.2507,0.14359,0.49252,0.36735,0.22753,0.22591,1.75528,0.93059,0.36207,2.0398,1.5005,0.000984449,0.000984449,0.000984449
50,144.952,1.48765,0.14251,0.48023,1.57867,1.29921,0.51545,0.34324,0.20651,0.13415,0.49903,0.34235,0.18766,0.18589,1.73184,0.93457,0.35961,1.98176,1.48875,0.000983798,0.000983798,0.000983798
51,147.789,1.40632,0.12433,0.36441,1.49729,1.20455,0.51441,0.34324,0.22687,0.14536,0.5035,0.31147,0.20244,0.20053,1.68058,0.92733,0.35665,2.00621,1.45322,0.000983133,0.000983133,0.000983133
52,150.723,1.31564,0.15766,0.35564,1.49233,1.21286,0.39899,0.455,0.23133,0.15536,0.39911,0.44324,0.21398,0.21119,1.6162,0.92347,0.34592,1.90878,1.42222,0.000982456,0.000982456,0.000982456
53,153.523,1.44452,0.07583,0.36645,1.5752,1.21925,0.33893,0.25235,0.2346,0.15489,0.33667,0.24647,0.2246,0.22238,1.63856,0.9236,0.34942,2.00236,1.4454,0.000981765,0.000981765,0.000981765
54,156.352,1.4167,0.21102,0.34541,1.57398,1.22439,0.18007,0.32824,0.24975,0.15452,0.15679,0.25953,0.23491,0.23261,1.6335,0.92632,0.35456,1.98353,1.4442,0.000981062,0.000981062,0.000981062
55,159.207,1.3739,0.08932,0.46294,1.60138,1.25615,0.2105,0.30324,0.25027,0.1545,0.15843,0.31147,0.22446,0.22238,1.59363,0.93766,0.36587,1.93109,1.4204,0.000980345,0.000980345,0.000980345
56,162.127,1.37281,0.21573,0.35891,1.54171,1.22015,0.38985,0.32912,0.23856,0.15174,0.36112,0.31735,0.22003,0.216,1.52244,0.93081,0.36204,1.82759,1.37818,0.000979616,0.000979616,0.000979616
