epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,2831.2,0.50042,0.41111,1.01173,0.9282,0.92727,0.95568,0.78913,0.66375,0.46785,1.22491,0.000538,0.000538,0.000538
142,2852.35,0.50379,0.39958,1.01394,0.95951,0.93636,0.96317,0.81839,0.64372,0.42872,1.20586,0.0005347,0.0005347,0.0005347
143,2873.59,0.494,0.40023,1.0151,0.88029,0.86364,0.93025,0.78833,0.64402,0.59699,1.18572,0.0005314,0.0005314,0.0005314
144,2893.49,0.49018,0.40143,1.00192,0.92969,0.96161,0.95073,0.78479,0.67072,0.45472,1.26885,0.0005281,0.0005281,0.0005281
145,2913.91,0.50076,0.3956,1.01665,0.88266,0.93636,0.93547,0.78674,0.68337,0.50497,1.27701,0.0005248,0.0005248,0.0005248
146,2935.56,0.50388,0.39483,1.01517,0.89831,0.90909,0.9173,0.77205,0.65686,0.52954,1.21444,0.0005215,0.0005215,0.0005215
147,2956.3,0.50407,0.39563,1.00614,0.88156,0.91818,0.933,0.78982,0.64016,0.51818,1.17867,0.0005182,0.0005182,0.0005182
148,2977.74,0.49271,0.39092,1.00695,0.87699,0.90739,0.90201,0.77359,0.64694,0.53959,1.20407,0.0005149,0.0005149,0.0005149
149,3000.95,0.47524,0.3871,0.99358,0.9025,0.91818,0.92521,0.79436,0.64181,0.48871,1.21131,0.0005116,0.0005116,0.0005116
150,3021.7,0.47728,0.37581,0.99556,0.93532,0.95455,0.96009,0.81903,0.61587,0.45399,1.17811,0.0005083,0.0005083,0.0005083
151,3043.23,0.48106,0.38423,0.99721,0.92023,0.94545,0.93982,0.79,0.64981,0.48583,1.24475,0.000505,0.000505,0.000505
152,3064.08,0.48313,0.39496,1.00001,0.92119,0.90909,0.93294,0.79721,0.63806,0.43798,1.18969,0.0005017,0.0005017,0.0005017
153,3090.64,0.48207,0.37851,0.99618,0.92718,0.92595,0.9284,0.79504,0.66583,0.45515,1.22908,0.0004984,0.0004984,0.0004984
154,3115.17,0.47159,0.37475,0.99555,0.94211,0.91818,0.9404,0.78178,0.65251,0.45741,1.20717,0.0004951,0.0004951,0.0004951
155,3135.97,0.47069,0.37147,0.99015,0.93732,0.95161,0.95206,0.76996,0.68348,0.45711,1.25562,0.0004918,0.0004918,0.0004918
156,3155.82,0.4674,0.36885,0.99453,0.92315,0.86364,0.90371,0.75255,0.67787,0.49514,1.27932,0.0004885,0.0004885,0.0004885
157,3174.7,0.47373,0.37329,0.989,0.93632,0.93574,0.93887,0.76542,0.65991,0.46889,1.27569,0.0004852,0.0004852,0.0004852
158,3193.35,0.46141,0.38084,0.98344,0.92036,0.94548,0.94892,0.78315,0.67369,0.4707,1.26594,0.0004819,0.0004819,0.0004819
159,3212.13,0.47118,0.36652,0.98295,0.92741,0.92912,0.94005,0.78067,0.67002,0.47747,1.2733,0.0004786,0.0004786,0.0004786
160,3230.94,0.46048,0.36877,0.98224,0.93865,0.9,0.91512,0.76587,0.68807,0.49201,1.28232,0.0004753,0.0004753,0.0004753
161,3249.64,0.45393,0.35236,0.9665,0.90581,0.96166,0.95045,0.78073,0.67113,0.46895,1.29878,0.000472,0.000472,0.000472
162,3268.41,0.46253,0.37122,0.98237,0.90469,0.94924,0.94813,0.7886,0.65466,0.44671,1.29792,0.0004687,0.0004687,0.0004687
163,3287.23,0.45214,0.35436,0.97134,0.9384,0.93636,0.93072,0.77934,0.64742,0.44689,1.24539,0.0004654,0.0004654,0.0004654
164,3305.81,0.46886,0.369,0.97916,0.92088,0.95233,0.92798,0.77502,0.65905,0.4193,1.2546,0.0004621,0.0004621,0.0004621
165,3324.85,0.45903,0.36087,0.97085,0.95571,0.92727,0.95654,0.79863,0.64936,0.42302,1.23573,0.0004588,0.0004588,0.0004588
166,3343.51,0.46344,0.36259,0.97639,0.92851,0.94453,0.94282,0.76798,0.67182,0.45693,1.29153,0.0004555,0.0004555,0.0004555
167,3362.07,0.4548,0.35533,0.97806,0.92499,0.92727,0.95208,0.80532,0.63685,0.44344,1.20982,0.0004522,0.0004522,0.0004522
168,3380.6,0.44374,0.34779,0.9605,0.91254,0.94856,0.94874,0.78984,0.67115,0.45594,1.26939,0.0004489,0.0004489,0.0004489
169,3399.19,0.44513,0.34443,0.95948,0.95345,0.93109,0.9442,0.78352,0.67657,0.44475,1.28757,0.0004456,0.0004456,0.0004456
170,3417.8,0.44555,0.34754,0.9763,0.94208,0.91818,0.92838,0.78222,0.65911,0.46364,1.26103,0.0004423,0.0004423,0.0004423
171,3436.79,0.45342,0.35837,0.96678,0.94426,0.95455,0.95211,0.78059,0.68516,0.44774,1.33977,0.000439,0.000439,0.000439
172,3455.5,0.4461,0.34961,0.97261,0.93644,0.97273,0.94948,0.77921,0.69698,0.43644,1.3418,0.0004357,0.0004357,0.0004357
173,3474.41,0.44255,0.34415,0.96372,0.95363,0.94545,0.95,0.76588,0.68901,0.41772,1.33566,0.0004324,0.0004324,0.0004324
174,3493.24,0.43569,0.33837,0.95988,0.93402,0.94545,0.94184,0.76538,0.66682,0.44065,1.28692,0.0004291,0.0004291,0.0004291
175,3512.13,0.44946,0.33856,0.96936,0.92423,0.93636,0.95085,0.77845,0.67762,0.46014,1.29093,0.0004258,0.0004258,0.0004258
176,3530.79,0.44333,0.3398,0.96109,0.95354,0.93303,0.95576,0.79562,0.64619,0.44949,1.25553,0.0004225,0.0004225,0.0004225
177,3549.67,0.43704,0.34021,0.95745,0.94281,0.94545,0.95266,0.80777,0.65357,0.44176,1.24015,0.0004192,0.0004192,0.0004192
178,3568.23,0.43285,0.32767,0.96032,0.91511,0.93636,0.94351,0.78277,0.70005,0.46847,1.30799,0.0004159,0.0004159,0.0004159
179,3587.11,0.42852,0.32661,0.9538,0.91802,0.95455,0.93964,0.79552,0.66899,0.43125,1.27299,0.0004126,0.0004126,0.0004126
180,3605.84,0.42887,0.32985,0.9586,0.92793,0.95455,0.9521,0.79103,0.64784,0.44291,1.27507,0.0004093,0.0004093,0.0004093
181,3624.9,0.42497,0.32649,0.94936,0.937,0.95455,0.94985,0.77879,0.70181,0.43761,1.33886,0.000406,0.000406,0.000406
182,3643.66,0.42742,0.32252,0.95497,0.94422,0.92335,0.94585,0.7787,0.68131,0.45311,1.31286,0.0004027,0.0004027,0.0004027
183,3662.13,0.42117,0.32983,0.94504,0.93555,0.92381,0.9449,0.78102,0.69743,0.45311,1.33941,0.0003994,0.0003994,0.0003994
