epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,2791.19,1.06674,1.68345,0.75944,1.37055,0,0.85413,0.66251,0.76495,0.48479,0.84559,0.65732,0.75363,0.44887,1.44436,2.26557,1.24373,1.7965,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2873.83,1.05574,1.69314,0.76066,1.37387,0,0.82412,0.60829,0.66284,0.4062,0.81283,0.59052,0.63758,0.37039,1.58741,2.41756,1.42928,1.94775,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2955.84,1.06399,1.68667,0.76016,1.37824,0,0.79967,0.63816,0.72559,0.44812,0.79043,0.63352,0.71301,0.41037,1.4665,2.30333,1.20285,1.8336,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3037.63,1.05184,1.66709,0.75398,1.36789,0,0.7938,0.58374,0.67074,0.42255,0.77751,0.57002,0.64333,0.37867,1.56927,2.46269,1.29307,1.93419,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3119.35,1.04907,1.63664,0.74327,1.35676,0,0.84239,0.68957,0.77455,0.47688,0.83745,0.68745,0.76488,0.44456,1.45393,2.29312,1.0415,1.82974,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3203.5,1.05004,1.6561,0.7419,1.35977,0,0.82931,0.66657,0.74532,0.47919,0.82798,0.65381,0.73036,0.43944,1.39429,2.31227,1.14641,1.7585,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3283.51,1.04779,1.64027,0.746,1.36047,0,0.79366,0.54596,0.63271,0.39687,0.77845,0.53178,0.60901,0.36181,1.66381,2.50228,1.5441,2.01446,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3368.14,1.04608,1.64404,0.72915,1.35349,0,0.81861,0.61368,0.69393,0.45371,0.80662,0.60469,0.67621,0.41491,1.47171,2.36102,1.22232,1.838,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3451.5,1.04609,1.63748,0.73945,1.36191,0,0.85722,0.65961,0.75134,0.46616,0.85949,0.64193,0.73134,0.42848,1.47127,2.34548,1.25773,1.82894,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3534.01,1.02842,1.62397,0.7149,1.33457,0,0.84669,0.68854,0.78048,0.49601,0.85088,0.67817,0.76675,0.4667,1.41697,2.25502,1.10007,1.77476,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3616.6,1.03174,1.61315,0.70935,1.34446,0,0.82196,0.62076,0.71194,0.46321,0.81396,0.6109,0.69515,0.42638,1.41042,2.43175,1.37419,1.76623,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3697.42,1.0143,1.60428,0.69853,1.33576,0,0.84324,0.65817,0.7441,0.42237,0.82812,0.65096,0.72877,0.38744,1.64766,2.51241,1.19868,2.03391,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3779.66,1.01991,1.59076,0.70392,1.32854,0,0.83674,0.70287,0.78308,0.50507,0.83241,0.69121,0.76983,0.47169,1.34905,2.23494,0.96999,1.72857,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3860.09,1.01416,1.58399,0.69392,1.33702,0,0.84836,0.72224,0.8047,0.50369,0.84189,0.71673,0.7927,0.46259,1.43105,2.30572,0.98489,1.7986,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3943.67,1.01087,1.59667,0.69415,1.33191,0,0.81123,0.5769,0.66505,0.4127,0.8067,0.56748,0.64924,0.38332,1.52294,2.53386,1.46776,1.88527,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4023.82,1.00772,1.57634,0.69671,1.31571,0,0.8355,0.71126,0.79107,0.47845,0.82606,0.70252,0.77907,0.44478,1.5009,2.38218,1.0037,1.8757,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
