epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,3243.96,0.9893,1.53971,0.66506,1.32055,0,0.86587,0.76428,0.84837,0.553,0.84994,0.75036,0.82779,0.50428,1.343,2.21124,0.91847,1.72748,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3321.84,0.97402,1.52303,0.64307,1.29414,0,0.84558,0.74623,0.83478,0.5392,0.83113,0.73347,0.81328,0.48819,1.33712,2.22001,0.88611,1.71339,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3399.78,0.97028,1.50777,0.64047,1.29876,0,0.86089,0.7782,0.85439,0.56364,0.85063,0.76892,0.84122,0.51188,1.30427,2.1314,0.85549,1.68005,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3477.7,0.95647,1.49459,0.63052,1.28966,0,0.87143,0.78607,0.8703,0.55633,0.85421,0.77559,0.85043,0.50707,1.35681,2.16436,0.79212,1.75214,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3555.2,0.95994,1.49036,0.63,1.28377,0,0.8777,0.76781,0.8542,0.56085,0.87112,0.76035,0.84176,0.51595,1.32486,2.15775,0.86701,1.71446,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3632.55,0.95661,1.48103,0.62813,1.29462,0,0.88339,0.77752,0.87187,0.57821,0.87252,0.76795,0.85749,0.53373,1.28894,2.06168,0.80582,1.66731,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3710.1,0.96237,1.49996,0.62919,1.29556,0,0.87037,0.767,0.86006,0.56204,0.86177,0.76022,0.84708,0.52502,1.30647,2.11899,0.84126,1.68069,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3787.2,0.95504,1.46377,0.62866,1.27275,0,0.86727,0.7463,0.82713,0.48658,0.85654,0.73558,0.81049,0.4445,1.55252,2.42405,0.90768,1.98453,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3864.47,0.95394,1.46874,0.61922,1.28766,0,0.865,0.72514,0.81689,0.47803,0.84861,0.71346,0.79919,0.42988,1.5608,2.44,0.9416,1.97363,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3941.87,0.95244,1.45918,0.62006,1.27491,0,0.87603,0.77559,0.86309,0.55869,0.8678,0.76196,0.8474,0.51425,1.33955,2.11984,0.81247,1.73515,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
