epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1073.15,0.93703,4.65546,0.22751,0.9226,1.52919,0.91737,0.86607,0.91073,0.71143,0.76642,0.74107,0.65138,0.17694,0.80838,4.3277,0.05959,0.66397,1.46636,0.0008449,0.0008449,0.0008449
49,1096.78,0.93832,4.62912,0.22091,0.92633,1.53641,0.92927,0.875,0.92408,0.72416,0.78176,0.72321,0.66175,0.17934,0.7738,4.33316,0.05915,0.67778,1.45027,0.0008416,0.0008416,0.0008416
50,1119.47,0.9335,4.56659,0.22597,0.90878,1.5281,0.93377,0.88122,0.91455,0.71317,0.70748,0.66071,0.54862,0.14728,0.82005,4.28966,0.05903,0.64707,1.46098,0.0008383,0.0008383,0.0008383
51,1141.96,0.93625,4.58927,0.224,0.94043,1.52021,0.92437,0.87302,0.92117,0.74051,0.76981,0.72321,0.66207,0.18071,0.76692,4.21088,0.05958,0.66915,1.4126,0.000835,0.000835,0.000835
52,1164.5,0.91742,4.55068,0.22189,0.91653,1.50115,0.90883,0.875,0.91391,0.72664,0.76305,0.72321,0.63278,0.1829,0.80686,4.33381,0.05875,0.63534,1.43617,0.0008317,0.0008317,0.0008317
53,1191.15,0.92486,4.50619,0.22624,0.91697,1.50281,0.93016,0.86607,0.91888,0.71525,0.7195,0.68708,0.61096,0.1851,0.83328,4.31177,0.05453,0.61486,1.45725,0.0008284,0.0008284,0.0008284
54,1216.59,0.91148,4.54702,0.2195,0.90202,1.49739,0.92324,0.875,0.91551,0.72851,0.80372,0.76778,0.71058,0.20804,0.77236,4.28457,0.05389,0.61232,1.41507,0.0008251,0.0008251,0.0008251
55,1239.47,0.89588,4.5053,0.21955,0.88755,1.47249,0.90753,0.87626,0.92148,0.74799,0.65487,0.6099,0.51077,0.12715,0.75726,4.45812,0.0569,0.63257,1.39064,0.0008218,0.0008218,0.0008218
56,1262.64,0.89752,4.5564,0.21935,0.87316,1.47473,0.92362,0.91071,0.93557,0.71607,0.69946,0.63393,0.57241,0.17868,0.81903,4.45481,0.05542,0.58903,1.4457,0.0008185,0.0008185,0.0008185
57,1284.6,0.90787,4.50539,0.22707,0.88613,1.48825,0.93137,0.86607,0.93756,0.74599,0.77499,0.72321,0.65697,0.16901,0.75136,4.28968,0.05531,0.61918,1.40611,0.0008152,0.0008152,0.0008152
58,1306.58,0.87334,4.44486,0.22398,0.87973,1.45115,0.925,0.88098,0.94503,0.76926,0.70686,0.66964,0.58946,0.17426,0.74409,4.38699,0.05478,0.57141,1.37991,0.0008119,0.0008119,0.0008119
59,1329.66,0.86254,4.50142,0.22128,0.8448,1.45618,0.92273,0.86607,0.92112,0.74969,0.78614,0.73214,0.67651,0.20455,0.73055,4.32942,0.05424,0.61395,1.38138,0.0008086,0.0008086,0.0008086
60,1352.71,0.88395,4.48513,0.21853,0.852,1.45672,0.92432,0.88393,0.93028,0.74011,0.71236,0.67857,0.58688,0.15767,0.78863,4.31343,0.05428,0.6411,1.42116,0.0008053,0.0008053,0.0008053
61,1376.18,0.87286,4.46248,0.2209,0.85682,1.45143,0.92378,0.875,0.92892,0.73666,0.7913,0.75,0.6871,0.20289,0.77979,4.32226,0.05512,0.6015,1.43186,0.000802,0.000802,0.000802
62,1399.74,0.88472,4.48244,0.23024,0.86289,1.45697,0.94163,0.86422,0.92874,0.7378,0.72334,0.67857,0.58487,0.15347,0.76222,4.32473,0.05594,0.59481,1.3856,0.0007987,0.0007987,0.0007987
63,1422.99,0.86684,4.46733,0.2132,0.84091,1.43434,0.90582,0.92857,0.93525,0.73677,0.7609,0.71036,0.64692,0.19566,0.78402,4.32586,0.05371,0.57526,1.41317,0.0007954,0.0007954,0.0007954
64,1446.07,0.87955,4.43496,0.21863,0.85656,1.44958,0.9308,0.86607,0.9238,0.73555,0.75296,0.70758,0.61093,0.184,0.78664,4.27675,0.0535,0.60923,1.40279,0.0007921,0.0007921,0.0007921
65,1468.71,0.87749,4.40581,0.22137,0.8578,1.4437,0.9092,0.8941,0.93325,0.75613,0.77463,0.75,0.66159,0.18679,0.7233,4.32848,0.05409,0.56992,1.36093,0.0007888,0.0007888,0.0007888
66,1491.93,0.85162,4.37605,0.22641,0.84694,1.4249,0.90396,0.92445,0.93631,0.76219,0.72062,0.70536,0.63083,0.19976,0.72639,4.33415,0.05334,0.5601,1.35512,0.0007855,0.0007855,0.0007855
67,1516.66,0.84631,4.39516,0.21853,0.85103,1.42139,0.92532,0.86607,0.92813,0.74997,0.76884,0.72321,0.6494,0.19259,0.73756,4.23278,0.0535,0.6124,1.37526,0.0007822,0.0007822,0.0007822
68,1541.2,0.82975,4.39226,0.21888,0.83402,1.41204,0.91839,0.90435,0.9307,0.75957,0.79672,0.75,0.70425,0.22339,0.7337,4.2295,0.05245,0.56947,1.36416,0.0007789,0.0007789,0.0007789
69,1567.53,0.85226,4.38471,0.22192,0.82173,1.4208,0.89356,0.91964,0.91742,0.736,0.77021,0.75893,0.71988,0.22467,0.76275,4.26174,0.05218,0.57657,1.41687,0.0007756,0.0007756,0.0007756
70,1593.21,0.86176,4.41228,0.22092,0.83356,1.44056,0.90931,0.91964,0.91772,0.74332,0.78242,0.73847,0.67751,0.20503,0.73322,4.2516,0.05168,0.58604,1.36934,0.0007723,0.0007723,0.0007723
71,1619.04,0.83094,4.32185,0.22197,0.82614,1.41988,0.91812,0.875,0.92538,0.74115,0.75403,0.71429,0.64432,0.18458,0.74304,4.22314,0.0534,0.5914,1.39952,0.000769,0.000769,0.000769
72,1645.36,0.83889,4.41882,0.21462,0.82287,1.40749,0.92609,0.89504,0.94315,0.76412,0.73809,0.69643,0.60509,0.17508,0.71057,4.29302,0.05242,0.55528,1.34875,0.0007657,0.0007657,0.0007657
73,1671.22,0.8232,4.38546,0.21799,0.81304,1.40769,0.89917,0.87584,0.91956,0.74243,0.73328,0.68733,0.5738,0.14416,0.72666,4.32718,0.05333,0.60679,1.38541,0.0007624,0.0007624,0.0007624
74,1698.09,0.81608,4.29367,0.2132,0.81011,1.39132,0.90214,0.90539,0.92387,0.75306,0.72028,0.71429,0.6544,0.18395,0.69422,4.31514,0.05259,0.58629,1.35233,0.0007591,0.0007591,0.0007591
75,1721.08,0.79653,4.29316,0.222,0.78783,1.38201,0.9174,0.89252,0.93247,0.77191,0.75942,0.73278,0.63858,0.17708,0.71145,4.25437,0.05233,0.57463,1.35037,0.0007558,0.0007558,0.0007558
76,1744.54,0.80366,4.35176,0.21768,0.81224,1.3762,0.91582,0.875,0.92326,0.74192,0.73413,0.70536,0.62225,0.17399,0.76144,4.34628,0.05244,0.60297,1.38439,0.0007525,0.0007525,0.0007525
77,1768.27,0.79604,4.28648,0.21499,0.78715,1.3634,0.93387,0.90179,0.9191,0.74905,0.71587,0.70536,0.65729,0.19121,0.7179,4.29733,0.05281,0.57425,1.35582,0.0007492,0.0007492,0.0007492
78,1791.83,0.79839,4.26336,0.22715,0.79368,1.36443,0.92427,0.875,0.91127,0.75486,0.78973,0.75,0.71017,0.21218,0.71004,4.24775,0.05401,0.58275,1.34314,0.0007459,0.0007459,0.0007459
79,1814.72,0.79603,4.28887,0.20992,0.78521,1.36513,0.90922,0.91964,0.92244,0.74813,0.75768,0.73214,0.6903,0.2027,0.73578,4.30819,0.05322,0.55165,1.36549,0.0007426,0.0007426,0.0007426
80,1837.81,0.79709,4.2225,0.22476,0.78051,1.36762,0.92973,0.88393,0.93356,0.75234,0.73957,0.70536,0.63678,0.20383,0.71787,4.30868,0.05429,0.59029,1.36728,0.0007393,0.0007393,0.0007393
81,1861.04,0.77865,4.18948,0.20809,0.7648,1.34405,0.90799,0.90179,0.93421,0.76155,0.7589,0.73073,0.65104,0.19846,0.70932,4.25947,0.05228,0.5647,1.33383,0.000736,0.000736,0.000736
82,1884.05,0.79532,4.28038,0.21658,0.77874,1.35589,0.92492,0.91964,0.92422,0.75893,0.76509,0.72321,0.68241,0.21366,0.71413,4.24001,0.05245,0.54068,1.34225,0.0007327,0.0007327,0.0007327
83,1906.9,0.76782,4.25722,0.21609,0.76384,1.3414,0.8866,0.90751,0.92437,0.7571,0.71375,0.66964,0.59299,0.17365,0.72213,4.28525,0.05284,0.5982,1.36428,0.0007294,0.0007294,0.0007294
84,1931.03,0.77916,4.24493,0.20892,0.76507,1.34019,0.9083,0.89286,0.91935,0.75279,0.72605,0.71429,0.66561,0.21627,0.71708,4.3225,0.05145,0.59741,1.3596,0.0007261,0.0007261,0.0007261
85,1953.95,0.77381,4.19081,0.21489,0.76616,1.34579,0.91004,0.88393,0.92895,0.75947,0.74323,0.72321,0.6877,0.20255,0.69913,4.2276,0.05178,0.55351,1.34035,0.0007228,0.0007228,0.0007228
86,1976.49,0.77805,4.20982,0.21506,0.77344,1.34707,0.90434,0.90179,0.94211,0.77376,0.70349,0.6875,0.60953,0.1972,0.70761,4.23019,0.05181,0.55762,1.33461,0.0007195,0.0007195,0.0007195
