series,name,epochs_observed,mask_ap,mask_ap50,peak_epoch,path,yaml_candidates
F_series,F09_yolo11-seg-simam_300ep,300,0.66221,0.82655,212.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F09_yolo11-seg-simam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F09_yolo11-seg-simam.yaml
F_series,F10_yolo11-seg-cbam_300ep,300,0.66313,0.82237,294.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F10_yolo11-seg-cbam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F10_yolo11-seg-cbam.yaml
F_series,F11_yolo11-seg-coordatt_300ep,300,0.66903,0.83088,217.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F11_yolo11-seg-coordatt_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F11_yolo11-seg-coordatt.yaml
F_series,F12_yolo11-seg-ela_300ep,300,0.66195,0.82195,255.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F12_yolo11-seg-ela_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F12_yolo11-seg-ela.yaml
F_series,F13_yolo11-seg-caa_300ep,300,0.6618,0.82343,255.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F13_yolo11-seg-caa_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F13_yolo11-seg-caa.yaml
F_series,F14_yolo11-seg-sppf-lska_300ep,300,0.67599,0.82868,196.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F14_yolo11-seg-sppf-lska_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F14_yolo11-seg-sppf-lska.yaml
F_series,F15_yolo11-seg-rfb_300ep,300,0.67018,0.82338,224.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F15_yolo11-seg-rfb_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F15_yolo11-seg-rfb.yaml
F_series,F16_yolo11-seg-bifpn_300ep,293,0.66821,0.83107,173.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F16_yolo11-seg-bifpn_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F16_yolo11-seg-bifpn.yaml
F_series,F17_yolo11-seg-carafe_300ep,300,0.6717,0.8261,240.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F17_yolo11-seg-carafe_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F17_yolo11-seg-carafe.yaml
F_series,F19_yolo11-seg-dfem_300ep,300,0.65739,0.81683,260.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F19_yolo11-seg-dfem_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F19_yolo11-seg-dfem.yaml
F_series,F20_yolo11-seg-dfem-p2p3_300ep,300,0.65199,0.82475,261.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F20_yolo11-seg-dfem-p2p3_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F20_yolo11-seg-dfem-p2p3.yaml
F_series,F21_yolo11-seg-liam_300ep,300,0.66247,0.81866,248.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F21_yolo11-seg-liam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F21_yolo11-seg-liam.yaml
F_series,F22_yolo11-seg-csfg_300ep,265,0.66163,0.82855,160.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F22_yolo11-seg-csfg_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F22_yolo11-seg-csfg.yaml
F_series,F23_yolo11-seg-hvi-dfem_300ep,300,0.62013,0.79116,251.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F23_yolo11-seg-hvi-dfem_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F23_yolo11-seg-hvi-dfem.yaml
F_series,F25_yolo11-seg-spd-ema_300ep,300,0.64879,0.81409,231.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F25_yolo11-seg-spd-ema_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F25_yolo11-seg-spd-ema.yaml
F_series,F26_yolo11-seg-dfem-liam_300ep,300,0.65874,0.82443,249.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F26_yolo11-seg-dfem-liam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F26_yolo11-seg-dfem-liam.yaml
F_series,F28_yolo11-seg-dfem-spd_300ep,300,0.64739,0.81318,261.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F28_yolo11-seg-dfem-spd_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F28_yolo11-seg-dfem-spd.yaml
F_series,F36_yolo11-seg-ours-no-dysample_300ep,300,0.64347,0.80862,294.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F36_yolo11-seg-ours-no-dysample_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F36_yolo11-seg-ours-no-dysample.yaml
F_series,F40_yolo11-seg-hrstream_300ep,300,0.66154,0.82743,278.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F40_yolo11-seg-hrstream_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F40_yolo11-seg-hrstream.yaml
F_series,F41_yolo11-seg-freqdetail-pan_300ep,300,0.65951,0.82411,211.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F41_yolo11-seg-freqdetail-pan_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F41_yolo11-seg-freqdetail-pan.yaml
F_series,F43_yolo11-seg-citrusfar-v2_300ep,300,0.6582,0.82809,263.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F43_yolo11-seg-citrusfar-v2_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F43_yolo11-seg-citrusfar-v2.yaml
F_series,F44_yolo11-seg-citrusfar-edge_300ep,300,0.64515,0.81689,238.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F44_yolo11-seg-citrusfar-edge_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F44_yolo11-seg-citrusfar-edge.yaml
F_series,F45_yolo11-seg-citrusfar-edge-nano_300ep,300,0.638,0.81136,288.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F45_yolo11-seg-citrusfar-edge-nano_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F45_yolo11-seg-citrusfar-edge-nano.yaml
F_series,F46_yolo11-seg-farformer_300ep,300,0.6723,0.82669,221.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F46_yolo11-seg-farformer_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F46_yolo11-seg-farformer.yaml
F_series,F47_yolo11-seg-lumiformer_300ep,300,0.65516,0.82302,165.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F47_yolo11-seg-lumiformer_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F47_yolo11-seg-lumiformer.yaml
F_series,F48_yolo11-seg-citrusformer-net_300ep,300,0.65605,0.82611,243.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F48_yolo11-seg-citrusformer-net_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F48_yolo11-seg-citrusformer-net.yaml
F_series,F49_yolo11-seg-tdam_300ep,300,0.65103,0.81796,285.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F49_yolo11-seg-tdam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F49_yolo11-seg-tdam.yaml
F_series,F51_yolo11-seg-lce-tdam_300ep,300,0.64087,0.81809,231.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F51_yolo11-seg-lce-tdam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F51_yolo11-seg-lce-tdam.yaml
