series,model,yaml,head,nc,series_status,parse_error
H_series,11_hybrid_aafm,H_series/11_hybrid_aafm.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,12_hybrid_p2neck,H_series/12_hybrid_p2neck.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,13_hybrid_savss,H_series/13_hybrid_savss.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,14_hybrid_aafm_savss,H_series/14_hybrid_aafm_savss.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,15_citrus_fasass_p2mask,H_series/15_citrus_fasass_p2mask.yaml,SegmentP2Boundary,80,hybrid redesign series; pending/compatibility,
H_series,16_citrus_fasass_p2detect,H_series/16_citrus_fasass_p2detect.yaml,SegmentP2DetectBoundary,80,hybrid redesign series; pending/compatibility,
L_series,00_yolo11n_seg_reference,L_series/00_yolo11n_seg_reference.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,01_lska_context,L_series/01_lska_context.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,02_scale_fusion,L_series/02_scale_fusion.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,03_p2cfs_detail,L_series/03_p2cfs_detail.yaml,SegmentP2CFS,80,topology series; superseded as primary by B v2,
L_series,04_topology_head,L_series/04_topology_head.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,05_lska_scale_fusion,L_series/05_lska_scale_fusion.yaml,Segment,80,topology series; superseded as primary by B v2,
L_series,06_lska_topology,L_series/06_lska_topology.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,07_citrus_toposeg_full,L_series/07_citrus_toposeg_full.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,08_scale_topology,L_series/08_scale_topology.yaml,SegmentCitrusTopo,80,topology series; superseded as primary by B v2,
L_series,09_full_p2cfs_control,L_series/09_full_p2cfs_control.yaml,SegmentP2CFS,80,topology series; superseded as primary by B v2,
N_series,01_hw_faster_lska_carafe_p2b,N_series/01_hw_faster_lska_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,02_moce_lska_carafe_p2b,N_series/02_moce_lska_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,03_wt_rfb_bifpn_p2b,N_series/03_wt_rfb_bifpn_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,04_moce_hco_hsf_p2b,N_series/04_moce_hco_hsf_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,05_faster_farformer_carafe_p2b,N_series/05_faster_farformer_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,06_faster_hyperace_bifpn_p2b,N_series/06_faster_hyperace_bifpn_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,07_faster_hyperres_hsf_p2b,N_series/07_faster_hyperres_hsf_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,08_sxq_lska_carafe_p2b,N_series/08_sxq_lska_carafe_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,09_hw_wt_lska_hsf_p2b,N_series/09_hw_wt_lska_hsf_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
N_series,10_moce_hw_bifpn_edge_p2b,N_series/10_moce_hw_bifpn_edge_p2b.yaml,SegmentP2Boundary,80,legacy evidence-combination series; old-data results,
S_series,00_reference,S_series/00_reference.yaml,Segment,80,completed grouped-clean ablation series,
S_series,01_repcontext_backbone,S_series/01_repcontext_backbone.yaml,Segment,80,completed grouped-clean ablation series,
S_series,02_lska_backbone,S_series/02_lska_backbone.yaml,Segment,80,completed grouped-clean ablation series,
S_series,03_train_aux_head,S_series/03_train_aux_head.yaml,SegmentCitrusAux,80,completed grouped-clean ablation series,
S_series,04_lite_head,S_series/04_lite_head.yaml,SegmentCitrusLite,80,completed grouped-clean ablation series,
S_series,05_fpn_only_neck,S_series/05_fpn_only_neck.yaml,Segment,80,completed grouped-clean ablation series,
S_series,06_asym_pan_neck,S_series/06_asym_pan_neck.yaml,Segment,80,completed grouped-clean ablation series,
S_series,07_lska_asym_pan,S_series/07_lska_asym_pan.yaml,Segment,80,completed grouped-clean ablation series,
S_series,08_citrus_swift_full,S_series/08_citrus_swift_full.yaml,SegmentCitrusLite,80,completed grouped-clean ablation series,
S_series,09_dense_topology_control,S_series/09_dense_topology_control.yaml,SegmentCitrusTopo,80,completed grouped-clean ablation series,
SXQ_series,SXQNet-seg,SXQ_series/SXQNet-seg.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V10-max,SXQ_series/SXQNet-V10-max.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V2-nano,SXQ_series/SXQNet-V2-nano.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V3-freq,SXQ_series/SXQNet-V3-freq.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V4-former,SXQ_series/SXQNet-V4-former.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V5-hyper,SXQ_series/SXQNet-V5-hyper.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V6-p2,SXQ_series/SXQNet-V6-p2.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V7-fast,SXQ_series/SXQNet-V7-fast.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V8-texture,SXQ_series/SXQNet-V8-texture.yaml,Segment,80,legacy SXQ series; old-data results,
SXQ_series,SXQNet-V9-dark,SXQ_series/SXQNet-V9-dark.yaml,Segment,80,legacy SXQ series; old-data results,
T_series,00_t00_yolo11n_reference,T_series/00_t00_yolo11n_reference.yaml,Segment,80,unified same-dataset finalist rerun; pending training,
T_series,01_t01_f14_sppf_lska,T_series/01_t01_f14_sppf_lska.yaml,Segment,80,unified same-dataset finalist rerun; pending training,
T_series,02_t02_g10_hybrid,T_series/02_t02_g10_hybrid.yaml,SegmentP2Boundary,80,unified same-dataset finalist rerun; pending training,
T_series,03_t03_n02_moce_lska,T_series/03_t03_n02_moce_lska.yaml,SegmentP2Boundary,80,unified same-dataset finalist rerun; pending training,
T_series,04_t04_l06_lska_topology,T_series/04_t04_l06_lska_topology.yaml,SegmentCitrusTopo,80,unified same-dataset finalist rerun; pending training,
T_series,05_t05_s04_lite_head,T_series/05_t05_s04_lite_head.yaml,SegmentCitrusLite,80,unified same-dataset finalist rerun; pending training,
T_series,06_t06_b06_context_topology_lite,T_series/06_t06_b06_context_topology_lite.yaml,SegmentCitrusBLite,80,unified same-dataset finalist rerun; pending training,
T_series,07_t07_c03_dualproto_core,T_series/07_t07_c03_dualproto_core.yaml,SegmentCitrusDualProto,80,unified same-dataset finalist rerun; pending training,
