epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,3088.66,0.88349,1.40014,0.5712,1.32527,0,0.89687,0.79931,0.89264,0.63055,0.88679,0.79032,0.87462,0.58201,1.14882,2.02496,0.77339,1.52899,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3169.9,0.87295,1.38912,0.56035,1.31746,0,0.9156,0.79574,0.90199,0.63567,0.90672,0.78628,0.88725,0.58595,1.15686,1.98032,0.71423,1.55047,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3250.48,0.8743,1.38469,0.56569,1.31246,0,0.88776,0.83244,0.90756,0.63101,0.87492,0.82135,0.88754,0.58324,1.16327,2.01957,0.69905,1.55368,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3331.77,0.86457,1.38228,0.56069,1.31225,0,0.88346,0.82488,0.90762,0.62917,0.87345,0.81251,0.8884,0.57906,1.15413,1.93999,0.68413,1.54407,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3412.61,0.86001,1.36415,0.55014,1.30158,0,0.89294,0.8098,0.89743,0.63081,0.87966,0.79501,0.87625,0.57957,1.15855,1.97653,0.78605,1.55908,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3493.07,0.85892,1.34899,0.55924,1.29804,0,0.88581,0.83618,0.90943,0.63177,0.87503,0.82019,0.89194,0.57933,1.15356,1.90353,0.68803,1.55164,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3574.06,0.86486,1.34766,0.54639,1.28996,0,0.89246,0.82528,0.91146,0.64061,0.87897,0.81281,0.89415,0.58796,1.14147,1.94361,0.68071,1.53096,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3655.03,0.84762,1.34003,0.5446,1.28326,0,0.88247,0.7866,0.88409,0.61904,0.87479,0.77704,0.86981,0.57455,1.15349,1.97864,0.76045,1.54445,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3735.66,0.85181,1.32613,0.53413,1.29416,0,0.90426,0.80234,0.90645,0.63264,0.892,0.79066,0.88815,0.57996,1.16656,2.02863,0.7043,1.55195,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3816.43,0.84257,1.32255,0.53758,1.27344,0,0.90458,0.79994,0.89893,0.63385,0.89154,0.79362,0.88342,0.58159,1.15501,2.07196,0.72388,1.56916,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3897.18,0.84561,1.31465,0.53764,1.28597,0,0.90726,0.80834,0.89718,0.63189,0.89477,0.79762,0.8806,0.58434,1.16094,2.08418,0.75251,1.55029,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3978.34,0.84006,1.30399,0.52788,1.27572,0,0.89898,0.81015,0.90014,0.63099,0.88796,0.79737,0.88067,0.57696,1.15561,1.99423,0.73661,1.54208,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4059.64,0.82888,1.30001,0.5231,1.27356,0,0.90124,0.79903,0.89084,0.62282,0.88613,0.78519,0.87094,0.57166,1.19025,2.0525,0.77775,1.58733,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4140.45,0.82533,1.28289,0.51786,1.2654,0,0.89503,0.82517,0.90576,0.64189,0.88693,0.8165,0.89254,0.59215,1.16001,2.05807,0.70289,1.55671,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4221.29,0.82878,1.27934,0.51675,1.27499,0,0.89608,0.81009,0.89256,0.63257,0.88068,0.79176,0.87166,0.5798,1.15066,2.05964,0.77981,1.54651,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4302.34,0.82043,1.28988,0.51573,1.26471,0,0.88445,0.82082,0.89916,0.64118,0.87776,0.80367,0.88586,0.59346,1.12645,1.95962,0.71959,1.5302,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4383.16,0.82369,1.26473,0.51573,1.2605,0,0.8932,0.83654,0.91344,0.65246,0.88792,0.81734,0.89748,0.60207,1.14046,2.07026,0.68676,1.54922,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4463.89,0.81321,1.2639,0.51237,1.2505,0,0.90227,0.81415,0.8991,0.6355,0.88512,0.80866,0.88614,0.58908,1.1634,2.02793,0.72791,1.56336,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4545.19,0.8166,1.26532,0.5063,1.25461,0,0.89658,0.83196,0.91619,0.64974,0.87893,0.82517,0.89952,0.59802,1.14669,1.97684,0.70073,1.54388,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
