Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%),,,Epoch,Train Loss,Test Loss,,,,Epoch,Train Acc (%),Test Acc (%)
90,0.0932,96.85,0.2813,96.3,,,90,0.0932,0.2813,,,,90,96.85,96.3
91,0.1264,95.7,0.3087,95.44,,,91,0.1264,0.3087,,,,91,95.7,95.44
92,0.1211,95.63,0.2434,96.01,,,92,0.1211,0.2434,,,,92,95.63,96.01
93,0.0816,97.3,0.1856,95.44,,,93,0.0816,0.1856,,,,93,97.3,95.44
94,0.0863,96.92,0.259,96.01,,,94,0.0863,0.259,,,,94,96.92,96.01
95,0.0939,96.82,0.2317,95.16,,,95,0.0939,0.2317,,,,95,96.82,95.16
96,0.0592,97.78,0.2406,96.01,,,96,0.0592,0.2406,,,,96,97.78,96.01
97,0.0452,98.56,0.2461,95.73,,,97,0.0452,0.2461,,,,97,98.56,95.73
98,0.0525,98.01,0.2862,95.44,,,98,0.0525,0.2862,,,,98,98.01,95.44
99,0.0577,97.91,0.2645,96.01,,,99,0.0577,0.2645,,,,99,97.91,96.01
100,0.0479,98.07,0.3059,95.44,,,100,0.0479,0.3059,,,,100,98.07,95.44
