epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,141.699,1.09113,2.25127,0.67037,1.58237,0.99529,0.60021,0.42519,0.2669,0.15239,0.55735,0.07937,0.05884,0.01403,1.34909,2.02645,0.67561,2.33648,1.08443,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942
56,144.364,1.10261,2.29071,0.67604,1.57785,0.98674,0.63757,0.35319,0.27939,0.15426,0.5076,0.10794,0.07613,0.0194,1.35868,2.01891,0.67566,2.22014,1.09168,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142,0.00276043,0.000920142
57,146.694,1.01997,2.21883,0.67422,1.43004,0.96977,0.43062,0.35397,0.28401,0.15949,0.28015,0.10794,0.04837,0.0153,1.36339,2.00829,0.67571,2.29497,1.0985,0.00275189,0.000917296,0.00275189,0.000917296,0.00275189,0.000917296,0.00275189,0.000917296
58,149.296,1.14946,2.34344,0.6818,1.55641,0.98913,0.59493,0.40476,0.26966,0.15927,0.52915,0.07937,0.04846,0.01429,1.35825,2.01117,0.67568,2.35684,1.10892,0.00274321,0.000914405,0.00274321,0.000914405,0.00274321,0.000914405,0.00274321,0.000914405
59,151.586,1.05446,2.22346,0.66702,1.58367,0.96926,0.61179,0.33968,0.29194,0.16529,0.52615,0.07937,0.05832,0.01762,1.35935,2.00817,0.6737,2.26831,1.10208,0.00273441,0.000911469,0.00273441,0.000911469,0.00273441,0.000911469,0.00273441,0.000911469
60,154.2,0.9897,2.31028,0.66589,1.32987,0.9528,0.42927,0.33175,0.31332,0.16921,0.52417,0.09365,0.06793,0.01751,1.3645,2.00336,0.67428,2.14023,1.09334,0.00272546,0.000908488,0.00272546,0.000908488,0.00272546,0.000908488,0.00272546,0.000908488
61,156.551,1.09026,2.26356,0.67,1.49128,0.99601,0.62933,0.3573,0.29638,0.16936,0.50808,0.10794,0.08883,0.01745,1.34225,2.00142,0.67458,2.29088,1.08921,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
62,159.113,0.99746,2.23727,0.67431,1.48001,0.98231,0.42549,0.43683,0.3052,0.17501,0.52668,0.10794,0.06816,0.01765,1.33249,2.01947,0.67124,2.1534,1.08766,0.00270718,0.000902395,0.00270718,0.000902395,0.00270718,0.000902395,0.00270718,0.000902395
63,161.398,0.97076,2.2951,0.66233,1.34426,0.93729,0.2017,0.45111,0.29142,0.15901,0.49931,0.09365,0.0624,0.01417,1.31228,2.03972,0.67259,2.16872,1.08285,0.00269785,0.000899282,0.00269785,0.000899282,0.00269785,0.000899282,0.00269785,0.000899282
64,164.214,1.01163,2.26286,0.66583,1.38543,0.96356,0.68455,0.33042,0.29041,0.16858,0.29406,0.13651,0.06458,0.01433,1.2692,2.05792,0.67305,2.27225,1.07009,0.00268838,0.000896127,0.00268838,0.000896127,0.00268838,0.000896127,0.00268838,0.000896127
65,167.083,0.95648,2.19698,0.66766,1.28099,0.98159,0.29867,0.39397,0.29705,0.17503,0.48922,0.10794,0.03955,0.01095,1.29707,2.06052,0.67246,2.23749,1.08007,0.00267878,0.000892928,0.00267878,0.000892928,0.00267878,0.000892928,0.00267878,0.000892928
66,170.352,0.99953,2.25904,0.66699,1.28697,0.95834,0.37247,0.33968,0.24445,0.15158,0.49904,0.09365,0.03592,0.01049,1.28093,2.06605,0.67215,2.38565,1.08325,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687,0.00266906,0.000889687
67,172.923,0.94474,2.23629,0.67103,1.21689,0.95855,0.21243,0.3781,0.28292,0.17425,0.47817,0.09574,0.03451,0.00952,1.28629,2.06616,0.67143,2.15951,1.08103,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404
68,175.626,1.00319,2.23451,0.65509,1.21909,0.97835,0.22356,0.45246,0.28261,0.16915,0.28413,0.13365,0.03145,0.00906,1.27443,2.04313,0.67032,2.13516,1.08449,0.00264924,0.000883079,0.00264924,0.000883079,0.00264924,0.000883079,0.00264924,0.000883079
69,178.148,1.04984,2.22693,0.66333,1.24966,0.93701,0.21625,0.45276,0.28819,0.17598,0.30473,0.09365,0.04566,0.01123,1.28368,2.04362,0.66927,2.13772,1.08333,0.00263914,0.000879713,0.00263914,0.000879713,0.00263914,0.000879713,0.00263914,0.000879713
70,180.881,0.96341,2.25587,0.65866,1.19741,0.93424,0.20106,0.3995,0.29975,0.18087,0.56908,0.09365,0.04388,0.01371,1.28982,2.03286,0.66702,2.08756,1.08053,0.00262891,0.000876305,0.00262891,0.000876305,0.00262891,0.000876305,0.00262891,0.000876305
71,183.393,1.02148,1.99783,0.66717,1.16815,0.94129,0.19446,0.45965,0.28377,0.17392,0.52211,0.07937,0.03498,0.01369,1.27361,2.02467,0.66894,2.26444,1.07731,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857
72,186.186,0.97237,2.14244,0.66005,1.16,0.95525,0.15094,0.35215,0.26768,0.16364,0.06469,0.14508,0.03866,0.0151,1.33036,2.03439,0.66572,2.32483,1.10399,0.0026081,0.000869368,0.0026081,0.000869368,0.0026081,0.000869368,0.0026081,0.000869368
73,188.796,1.01578,2.00106,0.65115,1.25357,0.9834,0.58968,0.23016,0.26956,0.16771,0.46904,0.06508,0.04011,0.01508,1.33186,2.03057,0.66736,2.3511,1.10643,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839
74,191.423,0.92075,2.17784,0.64746,1.12541,0.95904,0.26528,0.39325,0.30454,0.18011,0.49744,0.09365,0.05493,0.0167,1.25559,2.02113,0.66582,2.31563,1.07854,0.00258681,0.000862271,0.00258681,0.000862271,0.00258681,0.000862271,0.00258681,0.000862271
75,194.038,0.92297,2.29857,0.64008,1.13789,0.93804,0.45747,0.28497,0.31753,0.19444,0.51302,0.07937,0.05595,0.01597,1.28291,2.03355,0.66459,2.19428,1.08344,0.00257599,0.000858664,0.00257599,0.000858664,0.00257599,0.000858664,0.00257599,0.000858664
76,196.921,1.06199,2.14395,0.66284,1.17737,0.96616,0.47318,0.31552,0.3253,0.19927,0.54002,0.06508,0.05054,0.01454,1.27969,2.01238,0.66347,2.23389,1.0907,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
77,199.51,1.00509,2.15462,0.66243,1.1243,0.93023,0.44149,0.29845,0.28842,0.1828,0.50645,0.05079,0.0449,0.01737,1.282,2.00817,0.6635,2.15417,1.097,0.002554,0.000851333,0.002554,0.000851333,0.002554,0.000851333,0.002554,0.000851333
