epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,2517.95,1.1381,1.81183,0.85787,1.36291,0,0.80325,0.59659,0.67999,0.42013,0.79458,0.58768,0.66507,0.38961,1.52918,2.42919,1.51112,1.84597,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2596.89,1.13517,1.82169,0.85604,1.36538,0,0.75415,0.56915,0.65715,0.37989,0.74724,0.56393,0.64431,0.35204,1.63948,2.49914,1.51044,1.9544,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2673.29,1.14102,1.82492,0.85,1.37398,0,0.8311,0.60064,0.7043,0.39898,0.80554,0.59611,0.68656,0.36936,1.6507,2.53334,1.54701,1.95196,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2748.91,1.12512,1.77881,0.84689,1.35305,0,0.83249,0.63932,0.73699,0.45955,0.81658,0.62569,0.71108,0.4154,1.44859,2.44294,1.37851,1.76653,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2826.41,1.1234,1.75924,0.83252,1.34758,0,0.83581,0.66889,0.7584,0.45181,0.82674,0.65993,0.74373,0.41868,1.54235,2.43238,1.2863,1.85292,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2901.43,1.12113,1.78814,0.8329,1.34602,0,0.80565,0.60539,0.6941,0.43102,0.78925,0.59438,0.6723,0.39883,1.52405,2.45126,1.58097,1.80384,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2975.11,1.12311,1.77072,0.83574,1.34027,0,0.80499,0.58481,0.66937,0.3966,0.79547,0.57408,0.64928,0.36825,1.56332,2.40906,1.61041,1.82917,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3049.87,1.10972,1.76004,0.82703,1.33224,0,0.82593,0.59177,0.7022,0.40748,0.8054,0.5988,0.69838,0.38423,1.64912,2.51122,1.52712,1.93685,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3125.21,1.11689,1.75963,0.82859,1.33966,0,0.84005,0.64193,0.74323,0.44655,0.83044,0.63334,0.73013,0.41097,1.51137,2.42354,1.29382,1.81174,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3200.11,1.10323,1.74884,0.80578,1.32218,0,0.81293,0.62859,0.72084,0.4471,0.80493,0.6138,0.70462,0.41374,1.48456,2.41373,1.34405,1.78481,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3271.27,1.11087,1.74827,0.81236,1.32502,0,0.8399,0.67092,0.75519,0.44783,0.84214,0.66202,0.74665,0.42252,1.53719,2.34217,1.26667,1.84629,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3344.76,1.08699,1.72659,0.7944,1.31024,0,0.82275,0.57602,0.67044,0.40986,0.81157,0.56819,0.65256,0.37867,1.65244,2.54256,1.45658,1.90704,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3419.47,1.08854,1.72026,0.79767,1.30722,0,0.81229,0.63359,0.71178,0.43738,0.80482,0.63004,0.7006,0.40555,1.54206,2.44668,1.38199,1.82778,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3495.09,1.08156,1.7026,0.78071,1.3065,0,0.78799,0.57698,0.6408,0.4099,0.77338,0.56794,0.62253,0.37695,1.56862,2.52895,1.50418,1.83364,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3569.33,1.084,1.72219,0.78806,1.30383,0,0.80584,0.62917,0.7232,0.39581,0.80129,0.62395,0.71527,0.37924,1.70504,2.53271,1.27633,2.02568,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
